"region","num","country","latitude","longitude"
"Australia",597,"AU",-25.274398,133.775136
"Austria",7839,"AT",47.516231,14.550072
"Belgium",617,"BE",50.503887,4.469936
"Canada",14756,"CA",56.130366,-106.346771
"Denmark",1113,"DK",56.26392,9.501785
"France",2939,"FR",46.227638,2.213749
"Germany",4171,"DE",51.165691,10.451526
"Hong Kong",618,"HK",22.396428,114.109497
"Ireland",811,"IE",53.41291,-8.24389
"Italy",2878,"IT",41.87194,12.56738
"Japan",40,"JP",36.204824,138.252924
"Luxembourg",62,"LU",49.815273,6.129583
"Mexico",1752,"MX",23.634501,-102.552784
"Netherlands",2868,"NL",52.132633,5.291266
"New Zealand",1447,"NZ",-40.900557,174.885971
"Norway",708,"NO",60.472024,8.468946
"Other",6834,NA,NA,NA
"Singapore",555,"SG",1.352083,103.819836
"Sweden",1757,"SE",60.128161,18.643501
"United Kingdom",33672,"GB",55.378051,-3.435973
"United States",292627,"US",37.09024,-95.712891
